date,count
20140101,0
20140102,8
20140103,2
20140105,1
20140106,3
20140107,5
20140108,9
20140109,4
20140110,1
20140111,0
20140112,0
20140113,3
20140114,3
20140115,8
20140116,3
20140117,4
20140120,2
20140121,0
20140122,5
20140123,4
20140124,6
20140125,0
20140126,-1
20140127,11
20140128,3
20140129,3
20140130,8
20140131,1
20140202,2
20140203,4
20140204,7
20140205,4
20140206,4
20140207,4
20140209,1
20140210,11
20140211,1
20140212,5
20140213,7
20140214,3
20140216,0
20140217,0
20140218,4
20140219,5
20140220,3
20140221,7
20140222,0
20140223,1
20140224,6
20140225,3
20140226,9
20140227,7
20140228,3
20140301,0
20140303,6
20140304,4
20140305,-2
20140306,0
20140307,-1
20140309,2
20140310,2
20140311,-1
20140312,1
20140313,1
20140314,2
20140315,0
20140316,0
20140317,1
20140318,5
20140319,5
20140320,0
20140321,-1
20140323,2
20140324,6
20140325,5
20140326,9
20140327,5
20140328,0
20140329,0
20140330,2
20140331,2
20140401,5
20140402,3
20140403,3
20140404,6
20140406,0
20140407,2
20140408,3
20140409,4
20140410,4
20140411,1
20140414,4
20140415,2
20140416,0
20140417,2
20140418,-1
20140420,0
20140421,6
20140422,5
20140423,8
20140424,15
20140425,12
20140426,0
20140427,0
20140428,-1
20140429,8
20140430,4
20140501,6
20140502,0
20140504,0
20140505,4
20140506,7
20140507,2
20140508,3
20140509,5
20140511,1
20140512,9
20140513,-1
20140514,2
20140515,7
20140516,8
20140518,2
20140519,3
20140520,2
20140521,4
20140522,5
20140523,3
20140526,-1
20140527,4
20140528,3
20140529,3
20140530,8
20140601,1
20140602,8
20140603,4
20140604,5
20140605,3
20140606,2
20140608,0
20140609,4
20140610,4
20140611,10
20140612,4
20140613,2
20140615,2
20140616,1
20140617,5
20140618,3
20140619,5
20140620,-1
20140622,-1
20140623,2
20140624,0
20140625,7
20140626,0
20140627,2
20140629,0
20140630,2
20140701,4
20140702,3
20140703,6
20140704,-1
20140706,2
20140707,1
20140708,2
20140709,3
20140710,3
20140711,7
20140713,-1
20140714,2
20140715,3
20140716,7
20140717,8
20140718,-3
20140720,0
20140721,5
20140722,8
20140723,11
20140724,-1
20140725,3
20140728,9
20140729,6
20140730,3
20140731,5
20140801,2
20140803,0
20140804,-1
20140805,0
20140806,1
20140807,0
20140808,1
20140810,0
20140811,0
20140812,6
20140813,2
20140814,3
20140815,-1
20140817,1
20140818,3
20140819,4
20140820,2
20140821,4
20140822,4
20140823,0
20140824,3
20140825,2
20140826,6
20140827,3
20140828,8
20140829,6
20140901,1
20140902,6
20140903,7
20140904,5
20140905,8
20140907,2
20140908,1
20140909,15
20140910,17
20140911,9
20140912,3
20140914,1
20140915,4
20140916,7
20140917,5
20140918,10
20140919,4
20140921,0
20140922,-2
20140923,3
20140924,2
20140925,3
20140926,2
20140928,1
20140929,5
20140930,8
20141001,8
20141002,2
20141003,0
20141004,0
20141005,0
20141006,4
20141007,5
20141008,9
20141009,7
20141010,5
20141012,-1
20141013,7
20141014,9
20141015,5
20141016,6
20141017,4
20141019,-1
20141020,1
20141021,14
20141022,6
20141023,10
20141024,8
20141026,0
20141027,4
20141028,13
20141029,9
20141030,12
20141031,6
20141102,7
20141103,6
20141104,3
20141105,5
20141106,2
20141107,0
20141109,0
20141110,1
20141111,3
20141112,1
20141113,9
20141114,6
20141117,8
20141118,0
20141119,4
20141120,3
20141121,2
20141123,1
20141124,0
20141125,5
20141126,0
20141127,3
20141128,-1
20141130,-1
20141201,4
20141202,1
20141203,2
20141204,3
20141205,5
20141207,-1
20141208,5
20141209,5
20141210,3
20141211,7
20141212,3
20141214,2
20141215,2
20141216,5
20141217,7
20141218,4
20141219,0
20141222,-2
20141223,6
20141224,3
20141225,-2
20141228,3
20141229,2
20141230,5
20141231,3
